tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
imdb.com/title/tt0810819,7.1,180162,The Danish Girl,The Danish Girl,2015,119,"Biography,Drama,Romance"
imdb.com/title/tt3322364,7.1,93408,Concussion,Concussion,2015,123,"Biography,Drama,Sport"
imdb.com/title/tt1606392,7.1,53775,Win Win,Win Win,2011,106,"Comedy,Drama,Sport"
imdb.com/title/tt0096764,7.1,53064,The Adventures of Baron Munchausen,The Adventures of Baron Munchausen,1988,126,"Adventure,Comedy,Fantasy"
imdb.com/title/tt1204342,7.1,91553,The Muppets,The Muppets,2011,120,"Adventure,Comedy,Family"
imdb.com/title/tt2179116,7.1,80837,The Kings of Summer,The Kings of Summer,2013,95,"Adventure,Comedy,Drama"
imdb.com/title/tt0134847,7.1,236041,Pitch Black,Pitch Black,2000,109,"Action,Horror,Sci-Fi"
imdb.com/title/tt0083791,7.1,65761,The Dark Crystal,The Dark Crystal,1982,93,"Adventure,Family,Fantasy"
imdb.com/title/tt2361509,7.1,245329,The Intern,The Intern,2015,121,"Comedy,Drama"
imdb.com/title/tt1285241,7.1,52279,Don 2,Don 2,2011,148,"Action,Crime,Thriller"
imdb.com/title/tt1216487,7.1,94698,The Girl Who Played with Fire,Flickan som lekte med elden,2009,129,"Action,Crime,Drama"
imdb.com/title/tt0088993,7.1,68037,Day of the Dead,Day of the Dead,1985,101,"Horror,Thriller"
imdb.com/title/tt0057413,7.1,51708,The Pink Panther,The Pink Panther,1963,115,"Comedy,Crime,Romance"
imdb.com/title/tt6513120,7.1,79019,Fighting with My Family,Fighting with My Family,2019,108,"Biography,Comedy,Drama"
imdb.com/title/tt4595882,7.1,51315,Can You Ever Forgive Me?,Can You Ever Forgive Me?,2018,106,"Biography,Comedy,Crime"
imdb.com/title/tt0235198,7.1,79440,Audition,Ôdishon,1999,115,"Drama,Horror,Mystery"
imdb.com/title/tt0780521,7.1,138864,The Princess and the Frog,The Princess and the Frog,2009,97,"Adventure,Animation,Comedy"
imdb.com/title/tt0082340,7.1,138646,Escape from New York,Escape from New York,1981,99,"Action,Adventure,Sci-Fi"
imdb.com/title/tt0113409,7.1,67765,In the Mouth of Madness,In the Mouth of Madness,1994,95,"Drama,Fantasy,Horror"
imdb.com/title/tt2692904,7.1,147061,Locke,Locke,2013,85,Drama
imdb.com/title/tt4257926,7.1,25022,Miracles from Heaven,Miracles from Heaven,2016,109,"Biography,Drama,Family"
imdb.com/title/tt0247196,7.1,25042,Before Night Falls,Before Night Falls,2000,133,"Biography,Drama,Romance"
imdb.com/title/tt1440232,7.1,25110,Little White Lies,Les petits mouchoirs,2010,154,"Comedy,Drama"
imdb.com/title/tt0035279,7.1,25457,Saboteur,Saboteur,1942,109,"Thriller,War"
imdb.com/title/tt0067309,7.1,25508,Klute,Klute,1971,114,"Crime,Mystery,Thriller"
imdb.com/title/tt0978759,7.1,25606,Frozen River,Frozen River,2008,97,"Crime,Drama"
imdb.com/title/tt10521092,7.1,25717,The Forgotten Battle,De slag om de Schelde,2020,124,"Drama,War"
imdb.com/title/tt2263944,7.1,27702,Dragon Ball Z: Battle of Gods,Dragon Ball Z: Doragon bôru Z - Kami to Kami,2013,85,"Action,Adventure,Animation"
imdb.com/title/tt2304771,7.1,27724,Mandela: Long Walk to Freedom,Mandela: Long Walk to Freedom,2013,141,"Biography,Drama,History"
imdb.com/title/tt1653665,7.1,27074,Goodbye Christopher Robin,Goodbye Christopher Robin,2017,107,"Biography,Drama,Family"
imdb.com/title/tt0369672,7.1,26077,A Love Song for Bobby Long,A Love Song for Bobby Long,2004,119,Drama
imdb.com/title/tt2785032,7.1,26257,The Little Death,The Little Death,2014,96,"Comedy,Drama,Romance"
imdb.com/title/tt0084917,7.1,26582,The World According to Garp,The World According to Garp,1982,136,"Comedy,Drama"
imdb.com/title/tt2675914,7.1,26754,In Order of Disappearance,Kraftidioten,2014,116,"Action,Comedy,Crime"
imdb.com/title/tt1305797,7.1,26988,Enthiran,Enthiran,2010,155,"Action,Sci-Fi,Thriller"
imdb.com/title/tt2891174,7.1,33391,99 Homes,99 Homes,2014,112,Drama
imdb.com/title/tt0896872,7.1,33536,The Whistleblower,The Whistleblower,2010,112,"Biography,Crime,Drama"
imdb.com/title/tt4669788,7.1,33551,On the Basis of Sex,On the Basis of Sex,2018,120,"Biography,Drama"
imdb.com/title/tt0086216,7.1,34058,Rumble Fish,Rumble Fish,1983,94,"Crime,Drama,Romance"
imdb.com/title/tt3792960,7.1,32156,The Brand New Testament,Le tout nouveau testament,2015,114,"Comedy,Fantasy"
imdb.com/title/tt0283139,7.1,32205,White Oleander,White Oleander,2002,109,Drama
imdb.com/title/tt1629757,7.1,32559,Chasing Mavericks,Chasing Mavericks,2012,116,"Biography,Drama,Sport"
imdb.com/title/tt0115639,7.1,32892,Beautiful Girls,Beautiful Girls,1996,112,"Comedy,Drama,Romance"
imdb.com/title/tt2378507,7.1,33112,The Glass Castle,The Glass Castle,2017,127,"Biography,Drama"
imdb.com/title/tt1937264,7.1,34109,Now Is Good,Now Is Good,2012,103,"Drama,Romance"
imdb.com/title/tt0254455,7.1,36660,Sex and Lucía,Lucía y el sexo,2001,128,"Drama,Romance"
imdb.com/title/tt0461936,7.1,36755,Don,Don,2006,178,"Action,Crime,Thriller"
imdb.com/title/tt0085244,7.1,36774,The Big Chill,The Big Chill,1983,105,"Comedy,Drama"
imdb.com/title/tt0775529,7.1,37172,The Savages,The Savages,2007,114,"Comedy,Drama"
imdb.com/title/tt3499096,7.1,37338,Race,Race,2016,134,"Biography,Drama,Sport"
imdb.com/title/tt0120910,7.1,37904,Fantasia 2000,Fantasia 2000,1999,75,"Animation,Family,Fantasy"
imdb.com/title/tt0048605,7.1,38074,The Seven Year Itch,The Seven Year Itch,1955,105,"Comedy,Romance"
imdb.com/title/tt0247199,7.1,38277,The Believer,The Believer,2001,98,Drama
imdb.com/title/tt0221073,7.1,38330,Chopper,Chopper,2000,94,"Biography,Crime,Drama"
imdb.com/title/tt1266029,7.1,36605,Nowhere Boy,Nowhere Boy,2009,98,"Biography,Drama,Music"
imdb.com/title/tt0094608,7.1,35015,The Accused,The Accused,1988,111,"Crime,Drama"
imdb.com/title/tt0790712,7.1,35142,The Messenger,The Messenger,2009,113,"Drama,Romance,War"
imdb.com/title/tt6697582,7.1,35935,Arif V 216,Arif V 216,2018,125,"Comedy,Fantasy,Music"
imdb.com/title/tt0045810,7.1,36288,Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,1953,91,"Comedy,Musical,Romance"
imdb.com/title/tt10530176,7.1,29269,The Call,Kol,2020,112,"Crime,Horror,Mystery"
imdb.com/title/tt10095582,7.1,29322,The Tragedy of Macbeth,The Tragedy of Macbeth,2021,105,"Drama,Thriller,War"
imdb.com/title/tt2167266,7.1,29438,Tracks,Tracks,2013,112,"Adventure,Biography,Drama"
imdb.com/title/tt0044121,7.1,29502,The Thing from Another World,The Thing from Another World,1951,87,"Horror,Sci-Fi"
imdb.com/title/tt1149361,7.1,30130,Micmacs,Micmacs à tire-larigot,2009,105,"Action,Comedy,Crime"
imdb.com/title/tt2203308,7.1,29163,Aashiqui 2,Aashiqui 2,2013,132,"Drama,Music,Musical"
imdb.com/title/tt0469623,7.1,28648,Things We Lost in the Fire,Things We Lost in the Fire,2007,118,Drama
imdb.com/title/tt0310203,7.1,28636,Ruby & Quentin,Tais-toi!,2003,85,"Comedy,Crime"
imdb.com/title/tt1600524,7.1,28917,Heartbeats,Les amours imaginaires,2010,101,"Drama,Romance"
imdb.com/title/tt3149038,7.1,28953,A Brilliant Young Mind,X+Y,2014,111,"Drama,Romance"
imdb.com/title/tt8722346,7.1,30454,Queen & Slim,Queen & Slim,2019,132,"Crime,Drama,Romance"
imdb.com/title/tt0113987,7.1,30640,Nixon,Nixon,1995,192,"Biography,Drama,History"
imdb.com/title/tt5723272,7.1,32054,In the Fade,Aus dem Nichts,2017,106,"Crime,Drama,Thriller"
imdb.com/title/tt0061655,7.1,31405,The Fearless Vampire Killers,Dance of the Vampires,1967,108,"Comedy,Horror"
imdb.com/title/tt0117039,7.1,31312,Michael Collins,Michael Collins,1996,133,"Biography,Drama,Thriller"
imdb.com/title/tt8983202,7.1,31135,Kabir Singh,Kabir Singh,2019,173,"Action,Drama,Romance"
imdb.com/title/tt10612922,7.1,31138,One Night in Miami...,One Night in Miami...,2020,114,Drama
imdb.com/title/tt5935704,7.1,31190,Padmaavat,Padmaavat,2018,164,"Drama,History,Romance"
imdb.com/title/tt3824458,7.1,31209,Tangerine,Tangerine,2015,88,"Comedy,Crime,Drama"
imdb.com/title/tt4326444,7.1,31276,Julieta,Julieta,2016,99,"Drama,Mystery,Romance"
imdb.com/title/tt1450321,7.0,107505,Filth,Filth,2013,97,"Action,Comedy,Crime"
imdb.com/title/tt0110478,7.0,109872,Maverick,Maverick,1994,127,"Action,Adventure,Comedy"
imdb.com/title/tt0120889,7.0,107617,What Dreams May Come,What Dreams May Come,1998,113,"Drama,Fantasy,Romance"
imdb.com/title/tt0076752,7.0,106567,The Spy Who Loved Me,The Spy Who Loved Me,1977,125,"Action,Adventure,Thriller"
imdb.com/title/tt1259528,7.0,106954,Den of Thieves,Den of Thieves,2018,140,"Action,Crime,Drama"
imdb.com/title/tt0472062,7.0,117004,Charlie Wilson's War,Charlie Wilson's War,2007,102,"Biography,Comedy,Drama"
imdb.com/title/tt1135503,7.0,117028,Julie & Julia,Julie & Julia,2009,123,"Biography,Drama,Romance"
imdb.com/title/tt0088128,7.0,113708,Sixteen Candles,Sixteen Candles,1984,93,"Comedy,Romance"
imdb.com/title/tt1615160,7.0,112039,The Foreigner,The Foreigner,2017,113,"Action,Thriller"
imdb.com/title/tt0405296,7.0,110735,A Scanner Darkly,A Scanner Darkly,2006,100,"Animation,Crime,Drama"
imdb.com/title/tt0120902,7.0,105024,The X Files,The X Files,1998,121,"Drama,Mystery,Sci-Fi"
imdb.com/title/tt1172049,7.0,97864,Demolition,Demolition,2015,101,"Comedy,Drama"
imdb.com/title/tt0247745,7.0,103419,Super Troopers,Super Troopers,2001,100,"Comedy,Crime,Mystery"
imdb.com/title/tt0342258,7.0,102185,Unleashed,Unleashed,2005,103,"Action,Crime,Drama"
imdb.com/title/tt0106611,7.0,102129,Cool Runnings,Cool Runnings,1993,98,"Adventure,Comedy,Family"
imdb.com/title/tt0102266,7.0,101081,The Last Boy Scout,The Last Boy Scout,1991,105,"Action,Comedy,Crime"
imdb.com/title/tt1623288,7.0,100724,ParaNorman,ParaNorman,2012,92,"Adventure,Animation,Comedy"
imdb.com/title/tt4062536,7.0,118896,Green Room,Green Room,2015,95,"Crime,Drama,Horror"
imdb.com/title/tt0472033,7.0,138565,9,9,2009,79,"Action,Adventure,Animation"
imdb.com/title/tt1100089,7.0,141193,Foxcatcher,Foxcatcher,2014,134,"Biography,Drama,History"
imdb.com/title/tt1019452,7.0,140908,A Serious Man,A Serious Man,2009,106,"Comedy,Drama"
imdb.com/title/tt0431197,7.0,124718,The Kingdom,The Kingdom,2007,110,"Action,Drama,Thriller"
imdb.com/title/tt0113749,7.0,121442,Mallrats,Mallrats,1995,94,"Comedy,Romance"
imdb.com/title/tt0251160,7.0,131722,John Q,John Q,2002,116,"Crime,Drama,Thriller"
imdb.com/title/tt7959026,7.0,132235,The Mule,The Mule,2018,116,"Crime,Drama,Thriller"
